Carpeta,Tabla,Espectro,Pigmento,Aglutinante,Base de preparación
Tablas1,C3,B100002.asd,Almagre,Aceite de linaza,carbonato de calcio
Tablas1,C3,B200000.asd,Almagre,aceite de nuez,carbonato de calcio
Tablas1,C3,B200001.asd,Almagre,aceite de nuez,carbonato de calcio
Tablas1,C3,B200002.asd,Almagre,aceite de nuez,carbonato de calcio
Tablas1,C3,B300000.asd,Almagre,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,B300001.asd,Almagre,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,B300002.asd,Almagre,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,B400000.asd,Almagre,cola de conejo,carbonato de calcio
Tablas1,C3,B400001.asd,Almagre,cola de conejo,carbonato de calcio
Tablas1,C3,B400002.asd,Almagre,cola de conejo,carbonato de calcio
Tablas1,C3,B500000.asd,Almagre,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,B500001.asd,Almagre,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,B500002.asd,Almagre,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,C100000.asd,Minio,Aceite de linaza,carbonato de calcio
Tablas1,C3,C100001.asd,Minio,Aceite de linaza,carbonato de calcio
Tablas1,C3,C100002.asd,Minio,Aceite de linaza,carbonato de calcio
Tablas1,C3,C200000.asd,Minio,aceite de nuez,carbonato de calcio
Tablas1,C3,C200001.asd,Minio,aceite de nuez,carbonato de calcio
Tablas1,C3,C200002.asd,Minio,aceite de nuez,carbonato de calcio
Tablas1,C3,C300000.asd,Minio,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,C300001.asd,Minio,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,C300002.asd,Minio,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,C400000.asd,Minio,cola de conejo,carbonato de calcio
Tablas1,C3,C400001.asd,Minio,cola de conejo,carbonato de calcio
Tablas1,C3,C400002.asd,Minio,cola de conejo,carbonato de calcio
Tablas1,C3,C500000.asd,Minio,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,C500001.asd,Minio,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,C500002.asd,Minio,almaciga y aceite de linaza,carbonato de calcio
