Wavelength	A00133.asd
908	 1.03749866282256 
909	 1.0372587329007 
910	 1.03658676234748 
911	 1.03592576411555 
912	 1.03665057751123 
913	 1.0377860672544 
914	 1.037664563867 
915	 1.03646663986111 
916	 1.03681459465844 
917	 1.03644428931795 
918	 1.03593184261644 
919	 1.03586334580385 
920	 1.03576825289055 
921	 1.03632557461829 
922	 1.0367918419422 
923	 1.03657381607089 
924	 1.03635042908287 
925	 1.03692209482608 
926	 1.03767712080894 
927	 1.03773410644279 
928	 1.037098892637 
929	 1.0363689595936 
930	 1.03614489483257 
931	 1.03659210817649 
932	 1.03621830403701 
933	 1.0364889455042 
934	 1.03736536105948 
935	 1.03784389905171 
936	 1.03687339264124 
937	 1.03649996313573 
938	 1.03689790043412 
939	 1.03692698930697 
940	 1.0371680863367 
941	 1.03683421016059 
942	 1.03629161762365 
943	 1.03673772635526 
944	 1.03697649070286 
945	 1.03670777507565 
946	 1.03631620608934 
947	 1.03670369762616 
948	 1.03793182882933 
949	 1.03771623754405 
950	 1.03615653897274 
951	 1.03650334814199 
952	 1.03745812833683 
953	 1.03788878785885 
954	 1.03757137596025 
955	 1.03756144644205 
956	 1.03640766588195 
957	 1.03550126412545 
958	 1.0357432122011 
959	 1.03617718436271 
960	 1.03656057036578 
961	 1.03659015761395 
962	 1.03634420236389 
963	 1.03656451836671 
964	 1.03640240536124 
965	 1.03667680001331 
966	 1.03755244432338 
967	 1.03683523569404 
968	 1.03589783227311 
969	 1.03556381152918 
970	 1.03607781396115 
971	 1.03676085823696 
972	 1.03583531820879 
973	 1.03504102163248 
974	 1.03584067561645 
975	 1.03563834770628 
976	 1.03583213894901 
977	 1.03594763385871 
978	 1.03545716019924 
979	 1.03538151446307 
980	 1.03602097373219 
981	 1.0372772146493 
982	 1.03838821505779 
983	 1.03719768653301 
984	 1.03614867468613 
985	 1.03568099815416 
986	 1.03536674848932 
987	 1.03449459687423 
988	 1.03453890594778 
989	 1.03532275391447 
990	 1.03596661363532 
991	 1.03557997938694 
992	 1.03547119092758 
993	 1.0362345156806 
994	 1.03739595624819 
995	 1.03607583118785 
996	 1.03545547092643 
997	 1.0358219014859 
998	 1.03639678314074 
999	 1.03700581920024 
1000	 1.03632504140575 
1001	 1.03093249600645 
1002	 1.03093439642071 
1003	 1.03093790924805 
1004	 1.03097662611745 
1005	 1.03105220545285 
1006	 1.03110766138802 
1007	 1.03119918738289 
1008	 1.03125235531868 
1009	 1.03125120579187 
1010	 1.03130924090309 
1011	 1.03142047257231 
1012	 1.0314715965887 
1013	 1.03154870689574 
1014	 1.03157002230276 
1015	 1.03150922580512 
1016	 1.031448623214 
1017	 1.03147702627439 
1018	 1.03148832435883 
1019	 1.03148483828777 
1020	 1.03153128991178 
1021	 1.03153822530564 
1022	 1.03155904400805 
1023	 1.03146689448856 
1024	 1.03123018663541 
1025	 1.03118327315062 
